aX,aY,aZ,gX,gY,gZ
-0.178,1.717,2.002,104.309,133.118,87.524
-0.135,1.792,2.04,107.544,141.724,70.923
-0.102,1.817,2.044,104.858,153.687,52.49
-0.082,1.818,2.132,94.238,171.631,42.419
-0.162,1.849,2.036,80.688,186.462,34.973
-0.204,1.758,1.949,64.941,195.068,30.212
-0.275,1.41,1.617,1.709,200.256,21.484
-0.316,1.286,1.474,-9.033,199.585,18.677
-0.319,1.163,1.335,-12.756,197.571,12.756
-0.343,1.245,1.196,-16.968,190.552,5.371
-0.321,1.217,1.073,-18.005,178.528,-7.446
-0.309,1.237,0.991,-10.132,165.527,-30.396
-0.257,1.138,0.883,22.522,144.226,-81.421
-0.326,1.169,0.842,33.63,137.329,-103.821
-0.344,1.133,0.785,29.846,133.789,-123.901
-0.376,0.921,0.589,-27.771,129.578,-122.986
-0.382,0.733,0.513,-61.89,128.235,-115.112
-0.405,0.56,0.419,-90.82,127.014,-110.046
-0.437,0.384,0.269,-112.366,126.587,-105.713
-0.49,0.253,0.092,-124.878,123.474,-102.661
-0.549,0.234,-0.06,-131.348,115.479,-100.769
-0.596,0.214,-0.198,-132.202,102.295,-102.478
-0.615,0.129,-0.292,-125.732,86.06,-112.122
-0.535,0.089,-0.262,-115.723,67.627,-122.803
-0.488,-0.047,-0.252,-105.591,47.913,-126.282
-0.452,-0.139,-0.26,-102.844,30.701,-126.343
-0.415,-0.199,-0.271,-105.347,19.287,-125.122
-0.387,-0.328,-0.333,-109.863,9.094,-120.3
-0.445,-0.742,-0.615,-140.442,-21.301,-88.318
-0.467,-0.842,-0.697,-136.963,-58.594,-62.805
-0.539,-0.885,-0.702,-133.728,-82.825,-50.903
-0.559,-0.925,-0.656,-132.568,-109.68,-44.189
-0.561,-1.025,-0.596,-135.681,-157.776,-25.085
-0.432,-1.117,-0.128,-164.49,-196.838,9.888
-0.35,-1.079,0.12,-153.503,-208.618,23.499
-0.324,-1.177,0.24,-129.089,-221.497,35.828
-0.204,-1.242,0.522,-104.065,-230.469,49.255
-0.057,-1.19,0.838,-83.191,-231.323,70.557
-0.007,-1.083,1.042,-35.034,-217.896,99.243
0.043,-0.784,1.414,-15.625,-206.299,111.389
-0.014,-0.644,1.471,-2.38,-192.139,121.094
-0.048,-0.572,1.537,6.165,-177.917,124.939
-0.025,-0.444,1.646,6.104,-164.49,133.545
0.057,-0.413,1.775,3.113,-149.658,145.996
0.16,-0.363,1.983,1.221,-132.08,159.729
0.227,-0.26,2.141,5.493,-113.281,175.537
