aX,aY,aZ,gX,gY,gZ
-0.109,-0.773,0.861,4.028,-27.588,-2.563
-0.05,-0.822,0.907,-1.709,-33.203,3.418
-0.028,-0.852,0.943,-10.071,-31.738,15.808
-0.069,-0.839,0.943,-18.921,-21.484,29.724
-0.104,-0.811,0.939,-23.071,-0.732,41.138
-0.106,-0.712,0.947,-20.447,24.902,45.166
-0.069,-0.569,0.924,-13.977,46.021,45.41
-0.026,-0.444,0.896,-7.324,54.382,46.57
-0.004,-0.386,0.874,-1.038,50.598,47.424
0.01,-0.369,0.875,5.676,39.429,45.166
0.017,-0.347,0.916,10.986,28.564,38.879
0.062,-0.358,0.958,12.756,23.437,31.921
0.14,-0.362,0.986,12.329,21.179,29.663
0.199,-0.32,0.998,11.475,22.705,33.203
0.213,-0.265,0.994,9.583,29.663,40.344
0.207,-0.239,0.945,5.676,40.833,49.072
0.217,-0.211,0.903,3.418,51.941,55.847
0.206,-0.156,0.867,4.7,58.289,58.838
0.21,-0.111,0.829,8.85,56.458,58.96
0.195,-0.1,0.837,14.465,47.058,56.946
0.177,-0.121,0.855,20.325,33.142,51.819
0.195,-0.066,0.938,23.071,23.56,43.823
0.214,-0.003,1.013,21.118,20.935,38.757
0.22,0.022,1.039,15.442,20.752,41.016
0.218,0.054,1.017,8.362,22.156,46.509
0.219,0.095,0.952,2.38,25.33,50.11
0.219,0.153,0.912,-1.221,30.518,49.866
0.299,0.167,0.828,-0.977,34.119,46.814
0.347,0.2,0.788,2.075,33.264,41.931
0.362,0.214,0.755,5.92,32.166,39.307
0.332,0.214,0.76,9.094,31.189,40.222
0.214,0.159,0.86,15.015,29.358,40.649
0.177,0.166,0.968,18.494,24.658,35.278
0.162,0.177,1.088,25.33,16.541,29.663
0.136,0.19,1.204,32.532,9.399,27.222
0.125,0.185,1.282,36.621,8.423,28.687
0.094,0.223,1.363,37.781,15.686,33.264
0.034,0.221,1.364,36.316,27.893,41.199
-0.018,0.221,1.342,32.654,40.649,47.607
-0.049,0.202,1.277,26.978,52.307,48.218
-0.028,0.172,1.169,20.02,56.763,42.603
0.026,0.158,1.068,12.268,51.941,33.203
0.065,0.109,0.952,5.432,38.94,22.156
0.106,0.078,0.89,-1.282,25.513,9.766
0.124,0.036,0.869,-2.991,14.038,-2.441
0.171,-0.009,0.86,1.587,4.089,-13.367
0.264,-0.05,0.9,9.949,-1.099,-22.461
0.349,-0.041,0.968,18.311,-2.319,-24.963
0.399,-0.022,1.002,21.606,-0.61,-19.226
0.41,-0.01,1.021,20.386,3.662,-8.362
0.385,-0.0,1.031,17.029,8.667,1.831
0.332,0.008,1.021,12.512,10.437,8.179
0.308,0.03,1.031,7.263,9.583,8.789
0.291,0.043,1.024,2.502,4.578,5.981
0.288,0.054,1.021,-2.136,-3.174,2.136
0.288,0.069,1.018,-5.676,-9.033,-1.709
0.304,0.073,1.001,-7.019,-11.169,-4.883
0.331,0.073,0.996,-5.554,-10.62,-7.568
0.356,0.067,1.0,-1.587,-8.118,-8.423
0.374,0.062,1.01,2.014,-4.456,-6.897
0.365,0.073,1.039,2.258,-1.404,-3.906
0.318,0.086,1.048,-0.61,-0.61,0.0
0.275,0.115,1.042,-5.371,0.061,3.296
0.253,0.169,1.031,-10.864,1.404,3.174
0.234,0.224,1.019,-14.709,2.502,0.488
0.206,0.273,1.012,-16.724,4.028,-2.93
0.182,0.311,1.024,-17.09,7.446,-7.385
0.137,0.333,1.042,-16.174,11.658,-12.085
0.1,0.328,1.087,-14.16,14.832,-16.602
0.084,0.323,1.105,-12.207,16.479,-22.705
0.146,0.334,1.14,-11.047,18.127,-28.931
0.196,0.336,1.148,-10.132,17.883,-32.898
0.257,0.337,1.144,-9.705,20.081,-33.569
0.273,0.326,1.139,-11.108,24.841,-31.372
0.245,0.312,1.118,-13.123,30.518,-28.503
0.211,0.301,1.132,-13.855,33.691,-28.442
0.197,0.329,1.139,-13.611,34.485,-33.997
0.251,0.399,1.182,-12.634,33.203,-43.457
0.299,0.473,1.205,-10.01,25.635,-52.917
0.307,0.511,1.18,-6.165,14.404,-60.242
0.308,0.529,1.119,-2.93,7.69,-67.139
0.357,0.538,0.953,0.793,3.784,-75.378
0.465,0.576,0.887,5.615,1.038,-84.961
0.52,0.631,0.876,9.949,-3.174,-89.417
0.497,0.524,0.827,6.958,-12.817,-81.604
0.283,0.204,0.8,-1.221,-34.363,-59.326
0.018,-0.238,0.738,-9.399,-57.312,-30.701
-0.178,-0.655,0.742,-18.555,-69.336,-7.568
-0.36,-1.038,0.695,-23.071,-69.763,22.339
